benchmark,pf_level,memory,family,config,speedup_vs_nopf,simSeconds
merge,l2,ddr4_1x,AMPM,cfg02,1.1625187406296853,0.010005
merge,l2,ddr4_1x,IMP,s32_dist32_addr16,1.145572737122033,0.010153
merge,l2,ddr4_2x,No prefetch,none,1.0,0.011697
merge,l2,ddr4_2x,Next-line,deg4,1.1609925558312657,0.010075
merge,l2,ddr4_2x,Stride,deg32_dist1,1.152073278833842,0.010153
merge,l2,ddr4_2x,AMPM,cfg20,1.1732196589769308,0.00997
merge,l2,ddr4_2x,IMP,s32_dist32_addr16,1.1637647995224358,0.010051
quick,l1d,ddr4_1x,No prefetch,none,1.0,0.009731
quick,l1d,ddr4_1x,Next-line,deg32,1.1828126899234228,0.008227
quick,l1d,ddr4_1x,Stride,deg8_dist1,1.1779445587701247,0.008261
quick,l1d,ddr4_1x,AMPM,cfg08,1.1828126899234228,0.008227
quick,l1d,ddr4_1x,IMP,s32_sth2_pt8,1.1555634722717016,0.008421
quick,l1d,ddr4_2x,No prefetch,none,1.0,0.00967
quick,l1d,ddr4_2x,Next-line,deg32,1.1759698406907455,0.008223
quick,l1d,ddr4_2x,Stride,deg8_dist1,1.1712693798449614,0.008256
quick,l1d,ddr4_2x,AMPM,cfg08,1.1755409676635058,0.008226
quick,l1d,ddr4_2x,IMP,s32_dist8_addr16,1.1528373867429662,0.008388
quick,l2,ddr4_1x,No prefetch,none,1.0,0.009731
quick,l2,ddr4_1x,Next-line,deg8,1.1358701996031284,0.008567
quick,l2,ddr4_1x,Stride,default,1.1332246419005474,0.008587
quick,l2,ddr4_1x,AMPM,cfg02,1.1340170143339936,0.008581
quick,l2,ddr4_1x,IMP,s32_dist8_addr16,1.124711049468331,0.008652
quick,l2,ddr4_2x,No prefetch,none,1.0,0.00967
quick,l2,ddr4_2x,Next-line,deg16,1.1309941520467837,0.00855
quick,l2,ddr4_2x,Stride,deg8_dist1,1.1279598740230956,0.008573
quick,l2,ddr4_2x,AMPM,cfg24,1.1296728971962615,0.00856
quick,l2,ddr4_2x,IMP,s32_dist32_addr16,1.1210294458613494,0.008626
matmult,l1d,ddr4_1x,No prefetch,none,1.0,0.001279
matmult,l1d,ddr4_1x,Next-line,deg8,1.0356275303643725,0.001235
matmult,l1d,ddr4_1x,Stride,deg16_dist1,1.066722268557131,0.001199
matmult,l1d,ddr4_1x,AMPM,cfg06,1.0289621882542237,0.001243
matmult,l1d,ddr4_1x,IMP,s64_dist32_addr16,1.059652029826015,0.001207
matmult,l1d,ddr4_2x,No prefetch,none,1.0,0.001298
matmult,l1d,ddr4_2x,Next-line,deg8,1.0510121457489878,0.001235
matmult,l1d,ddr4_2x,Stride,deg16_dist1,1.0807660283097418,0.001201
matmult,l1d,ddr4_2x,AMPM,cfg06,1.0309769658459094,0.001259
matmult,l1d,ddr4_2x,IMP,s64_sth8_pt8,1.0656814449917895,0.001218
matmult,l2,ddr4_1x,No prefetch,none,1.0,0.001279
matmult,l2,ddr4_1x,Next-line,deg32,1.0978540772532188,0.001165
matmult,l2,ddr4_1x,Stride,deg16_dist1,1.0711892797319933,0.001194
matmult,l2,ddr4_1x,AMPM,hz1k,1.0765993265993266,0.001188
matmult,l2,ddr4_1x,IMP,s32_ipd16_pt32,1.0614107883817427,0.001205
matmult,l2,ddr4_2x,No prefetch,none,1.0,0.001298
matmult,l2,ddr4_2x,Next-line,deg16,1.1208981001727114,0.001158
matmult,l2,ddr4_2x,Stride,deg32_dist1,1.0871021775544387,0.001194
matmult,l2,ddr4_2x,AMPM,hz2k,1.085284280936455,0.001196
matmult,l2,ddr4_2x,IMP,s32_dist8_addr16,1.0780730897009967,0.001204
