benchmark,memory,pf_level,parameter_family,parameter_name,rank,config,simSeconds,baseline_simSeconds,speedup,pfIssued,pfUseful,pfUnused,accuracy,coverage,pfLate,pfTimely,run_name
bfs,ddr4_2x,l1d,sd,start_degree,1,sd8,0.018681,0.025169,1.3473047481398213,5963081.0,387205.0,2490181.0,0.064934,0.110201,2856284.0,3106797.0,bfs_ampm_sd8_l1d_ddr4_2x
bfs,ddr4_2x,l1d,sd,start_degree,2,sd16,0.018694,0.025169,1.346367818551407,5947452.0,387821.0,2483992.0,0.065208,0.110354,2847418.0,3100034.0,bfs_ampm_sd16_l1d_ddr4_2x
bfs,ddr4_2x,l2,amt,access_map_table_entries,1,amt256,0.019392,0.025169,1.2979063531353137,897341.0,195247.0,123032.0,0.217584,0.139267,474169.0,423172.0,bfs_ampm_amt256_l2_ddr4_2x
bfs,ddr4_2x,l2,amt,access_map_table_entries,2,amt512,0.019406,0.025169,1.296970009275482,802811.0,192453.0,108875.0,0.239724,0.137105,402683.0,400128.0,bfs_ampm_amt512_l2_ddr4_2x
bfs,ddr4_2x,l2,assoc,access_map_table_assoc,1,assoc16,0.019425,0.025169,1.2957014157014157,1360502.0,259624.0,225822.0,0.19083,0.179813,771904.0,588598.0,bfs_ampm_assoc16_l2_ddr4_2x
bfs,ddr4_2x,l2,assoc,access_map_table_assoc,2,assoc4,0.01951,0.025169,1.2900563813429011,1355427.0,260739.0,236903.0,0.192367,0.179924,754598.0,600829.0,bfs_ampm_assoc4_l2_ddr4_2x
bfs,ddr4_2x,l2,default,default,1,default,0.019454,0.025169,1.2937699187827696,1342757.0,259162.0,227413.0,0.193007,0.179445,752430.0,590327.0,bfs_ampm_default_l2_ddr4_2x
bfs,ddr4_2x,l2,epoch,epoch_cycles,1,epoch128k,0.019455,0.025169,1.2937034181444358,1360346.0,260053.0,227542.0,0.191167,0.17988,770326.0,590020.0,bfs_ampm_epoch128k_l2_ddr4_2x
bfs,ddr4_2x,l2,epoch,epoch_cycles,2,epoch64k,0.019458,0.025169,1.2935039572412377,1377741.0,260428.0,228186.0,0.189025,0.180135,786433.0,591308.0,bfs_ampm_epoch64k_l2_ddr4_2x
bfs,ddr4_2x,l2,hz,hot_zone_size,1,hz1k,0.019392,0.025169,1.2979063531353137,897341.0,195247.0,123032.0,0.217584,0.139267,474169.0,423172.0,bfs_ampm_hz1k_l2_ddr4_2x
bfs,ddr4_2x,l2,hz,hot_zone_size,2,hz512,0.019406,0.025169,1.296970009275482,802811.0,192453.0,108875.0,0.239724,0.137105,402683.0,400128.0,bfs_ampm_hz512_l2_ddr4_2x
bfs,ddr4_2x,l2,ls,limit_stride,1,ls4,0.019443,0.025169,1.2945018772823125,972567.0,215806.0,140962.0,0.221893,0.151975,518282.0,454285.0,bfs_ampm_ls4_l2_ddr4_2x
bfs,ddr4_2x,l2,ls,limit_stride,2,ls8,0.019448,0.025169,1.2941690662278897,1134650.0,234687.0,178435.0,0.206836,0.164225,618826.0,515824.0,bfs_ampm_ls8_l2_ddr4_2x
bfs,ddr4_2x,l2,sd,start_degree,1,sd16,0.019446,0.025169,1.2943021701121051,1400784.0,261447.0,227226.0,0.186643,0.180732,810720.0,590064.0,bfs_ampm_sd16_l2_ddr4_2x
bfs,ddr4_2x,l2,sd,start_degree,2,sd8,0.019451,0.025169,1.293969461724333,1381236.0,261174.0,227253.0,0.189087,0.180562,791247.0,589989.0,bfs_ampm_sd8_l2_ddr4_2x
matmult,ddr4_1x,l1d,amt,access_map_table_entries,1,amt16,0.001247,0.001268,1.0168404170008019,7721.0,9.0,1858.0,0.001166,8e-06,5051.0,2670.0,matmult_ampm_amt16_l1d_ddr4_1x
