run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused
bfs_stride_deg1_dist8_l2_ddr4_2x,bfs,stride,deg1_dist8,l2,ddr4_2x,0.021146,21145672161.0,30729211.0,63500517.0,0.483921,6887356.0,11381497.0,1328280.0,3529027.0,nan,nan,nan,253548.0,159759.0,70484.0
bfs_stride_deg32_dist16_l1d_ddr4_1x,bfs,stride,deg32_dist16,l1d,ddr4_1x,0.024391,24390776142.0,30729211.0,73245574.0,0.419537,6429671.0,11434967.0,1777419.0,4196587.0,4189633.0,174822.0,604892.0,nan,nan,nan
bfs_stride_deg32_dist16_l1d_ddr4_2x,bfs,stride,deg32_dist16,l1d,ddr4_2x,0.021407,21406605633.0,30729211.0,64284101.0,0.478022,6341545.0,11356157.0,1778329.0,4208762.0,4236337.0,178989.0,609236.0,nan,nan,nan
bfs_stride_deg32_dist16_l2_ddr4_1x,bfs,stride,deg32_dist16,l2,ddr4_1x,0.025157,25156934550.0,30729211.0,75546350.0,0.40676,7008710.0,11459539.0,1364014.0,3522198.0,nan,nan,nan,3983331.0,172447.0,269406.0
bfs_stride_deg32_dist16_l2_ddr4_2x,bfs,stride,deg32_dist16,l2,ddr4_2x,0.021912,21911975424.0,30729211.0,65801728.0,0.466998,6940804.0,11379930.0,1363732.0,3528770.0,nan,nan,nan,4107706.0,173913.0,272525.0
bfs_stride_deg32_dist1_l1d_ddr4_1x,bfs,stride,deg32_dist1,l1d,ddr4_1x,0.021856,21855909546.0,30729211.0,65633362.0,0.468196,5069230.0,11428317.0,1854513.0,4275202.0,5196981.0,295260.0,663314.0,nan,nan,nan
bfs_stride_deg32_dist1_l1d_ddr4_2x,bfs,stride,deg32_dist1,l1d,ddr4_2x,0.01908,19079993907.0,30729211.0,57297279.0,0.536312,4959558.0,11344054.0,1863967.0,4297182.0,5606158.0,308416.0,683800.0,nan,nan,nan
bfs_stride_deg32_dist1_l2_ddr4_1x,bfs,stride,deg32_dist1,l2,ddr4_1x,0.022946,22946439924.0,30729211.0,68908228.0,0.445945,6598644.0,11449417.0,1314026.0,3528802.0,nan,nan,nan,5749167.0,246175.0,370202.0
bfs_stride_deg32_dist1_l2_ddr4_2x,bfs,stride,deg32_dist1,l2,ddr4_2x,0.019748,19747766133.0,30729211.0,59302601.0,0.518177,6555917.0,11375945.0,1306697.0,3529506.0,nan,nan,nan,5909269.0,253213.0,364261.0
bfs_stride_deg32_dist32_l1d_ddr4_1x,bfs,stride,deg32_dist32,l1d,ddr4_1x,0.025652,25651905750.0,30729211.0,77032750.0,0.398911,7017368.0,11439878.0,1646495.0,3920561.0,2186608.0,104482.0,350833.0,nan,nan,nan
bfs_stride_deg32_dist32_l1d_ddr4_2x,bfs,stride,deg32_dist32,l1d,ddr4_2x,0.022821,22820652837.0,30729211.0,68530489.0,0.448403,6904261.0,11365894.0,1644597.0,3920028.0,2259127.0,106189.0,350196.0,nan,nan,nan
bfs_stride_deg32_dist32_l2_ddr4_1x,bfs,stride,deg32_dist32,l2,ddr4_1x,0.026066,26066411496.0,30729211.0,78277512.0,0.392568,7278151.0,11457449.0,1397563.0,3522285.0,nan,nan,nan,2015531.0,109564.0,156350.0
bfs_stride_deg32_dist32_l2_ddr4_2x,bfs,stride,deg32_dist32,l2,ddr4_2x,0.023085,23084520372.0,30729211.0,69322884.0,0.443277,7167265.0,11381846.0,1396392.0,3522388.0,nan,nan,nan,2041653.0,110246.0,153108.0
bfs_stride_deg32_dist4_l1d_ddr4_1x,bfs,stride,deg32_dist4,l1d,ddr4_1x,0.022901,22900919490.0,30729211.0,68771530.0,0.446831,5499178.0,11431924.0,1854533.0,4312348.0,5491437.0,269355.0,698985.0,nan,nan,nan
bfs_stride_deg32_dist4_l1d_ddr4_2x,bfs,stride,deg32_dist4,l1d,ddr4_2x,0.019925,19924727661.0,30729211.0,59834017.0,0.513575,5407004.0,11348800.0,1831788.0,4297266.0,5629379.0,276800.0,685287.0,nan,nan,nan
