run,benchmark,prefetcher,stage,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused
matmult_imp3_s32_ipd16_pt32_l2_ddr4_1x,matmult,imp,stage3,s32_ipd16_pt32,l2,ddr4_1x,0.001205,1204672788.0,7397871.0,3617636.0,2.044949,1158165.0,2136806.0,1669.0,1076248.0,nan,nan,nan,5773.0,3771.0,23.0
matmult_imp3_s32_ipd8_addr8_l1d_ddr4_1x,matmult,imp,stage3,s32_ipd8_addr8,l1d,ddr4_1x,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
matmult_imp3_s32_ipd8_addr8_l2_ddr4_1x,matmult,imp,stage3,s32_ipd8_addr8,l2,ddr4_1x,0.001205,1204672788.0,7397871.0,3617636.0,2.044949,1158165.0,2136806.0,1669.0,1076248.0,nan,nan,nan,5773.0,3771.0,23.0
matmult_imp3_s32_ipd8_addr8_l2_ddr4_2x,matmult,imp,stage3,s32_ipd8_addr8,l2,ddr4_2x,0.001204,1203633495.0,7397876.0,3614515.0,2.046716,1159095.0,2138428.0,1618.0,1077370.0,nan,nan,nan,6106.0,3776.0,5.0
matmult_imp3_s32_l1d_ddr4_1x,matmult,imp,stage3,s32,l1d,ddr4_1x,0.001212,1212481638.0,7397876.0,3641086.0,2.03178,1150786.0,2138452.0,5475.0,1082498.0,31305.0,2993.0,4715.0,nan,nan,nan
matmult_imp3_s32_sth2_dist32_ipd16_l1d_ddr4_2x,matmult,imp,stage3,s32_sth2_dist32_ipd16,l1d,ddr4_2x,0.001222,1221808635.0,7397876.0,3669095.0,2.01627,1151259.0,2139717.0,5403.0,1082958.0,27139.0,3255.0,4548.0,nan,nan,nan
matmult_imp3_s32_sth2_l1d_ddr4_2x,matmult,imp,stage3,s32_sth2,l1d,ddr4_2x,0.001222,1221808635.0,7397876.0,3669095.0,2.01627,1151259.0,2139717.0,5403.0,1082958.0,27139.0,3255.0,4548.0,nan,nan,nan
matmult_imp3_s32_sth2_pt8_l1d_ddr4_2x,matmult,imp,stage3,s32_sth2_pt8,l1d,ddr4_2x,0.001222,1221808635.0,7397876.0,3669095.0,2.01627,1151259.0,2139717.0,5403.0,1082958.0,27139.0,3255.0,4548.0,nan,nan,nan
matmult_imp3_s32_sth8_pt8_l1d_ddr4_2x,matmult,imp,stage3,s32_sth8_pt8,l1d,ddr4_2x,0.001219,1219116996.0,7397876.0,3661012.0,2.020721,1148919.0,2138385.0,5381.0,1081880.0,27750.0,3257.0,4507.0,nan,nan,nan
matmult_imp3_s64_dist32_addr16_l1d_ddr4_1x,matmult,imp,stage3,s64_dist32_addr16,l1d,ddr4_1x,0.001207,1206685440.0,7397871.0,3623680.0,2.041538,1149126.0,2138238.0,5492.0,1082270.0,24225.0,3014.0,4710.0,nan,nan,nan
