,speedup_vs_imp_default,speedup_vs_imp_default,speedup_vs_imp_default,speedup_vs_imp_default,speedup_vs_imp_default,speedup_vs_stage1_best,speedup_vs_stage1_best,speedup_vs_stage1_best,speedup_vs_stage1_best,speedup_vs_stage1_best,pf_accuracy,pf_accuracy,pf_accuracy,pf_accuracy,pf_accuracy,pf_unused_ratio,pf_unused_ratio,pf_unused_ratio,pf_unused_ratio,pf_unused_ratio
,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max
config,,,,,,,,,,,,,,,,,,,,
s16_ipd8_addr8,24,1.0533989889263002,1.0327259996118736,0.9607438016528925,1.1841004184100419,24,0.9961069586236698,1.0,0.9461675579322638,1.0,24,0.35524793905776564,0.3652749437849865,0.057695990489074235,0.8145021932739599,24,0.1577770315238359,0.016779569792393288,0.0,0.7387059852712338
s16_pt8_sth2,24,1.0536198676093937,1.0330783421298948,0.961405926946933,1.1853403141361256,24,0.996320383613634,1.0,0.9448202207191172,1.0056791292001894,24,0.35685042314244475,0.3690080443518342,0.05770431386149112,0.8139897749153443,24,0.15770665191072966,0.016179599005719518,0.0,0.739666911827051
s16_pt8_sth8,24,1.053523198489402,1.0327944425159972,0.9620689655172414,1.1841004184100419,24,0.9962392848624305,0.9999517094842573,0.9428063943161635,1.011904761904762,24,0.35695265652575486,0.3714934755069591,0.05775543485131326,0.8147285015147984,24,0.1571713998164065,0.01585038996652904,0.0,0.7387026053392388
s16_sth2,24,1.053384153876876,1.0331239969410944,0.961405926946933,1.1853403141361256,24,0.9960934178596883,0.9999607966128274,0.9448202207191172,1.0056791292001894,24,0.3556895889866132,0.36585112133166786,0.057703679828795616,0.8128687926805013,24,0.1581107925714981,0.017740174602416687,0.0,0.7396495353697324
s16_sth8,24,1.053498803133349,1.0327799637428519,0.9620689655172414,1.1841004184100419,24,0.9962157078094864,0.9998429014026582,0.9428063943161635,1.011904761904762,24,0.3564857998410294,0.3660893280205791,0.05775543485131326,0.8151537335285505,24,0.1572489643372962,0.016256786311038655,0.0,0.7387026053392388
s2,24,0.9712667513790881,0.9736529097313384,0.8691704498555509,1.1417044881492688,24,0.9209026236033647,0.9436172663661643,0.7428807263722658,1.0,24,0.20424134953424633,0.16458751957968681,8.289454487579082e-07,0.536797184996631,24,0.09996774937961912,0.002137937851361709,0.0,0.3949752702566152
s2_sth2,24,0.9698515209944784,0.9727929198449298,0.8691704498555509,1.12636815920398,24,0.9195043774970415,0.9448199749606041,0.7428807263722658,1.015302218821729,24,0.20372782966991643,0.16410073602915898,8.337912236803378e-07,0.5371959674699247,24,0.09971157705305589,0.002157083310490973,0.0,0.3947788593641024
s2_sth8,24,0.9713444150905751,0.976213692227633,0.8691704498555509,1.124689518132141,24,0.921032537840128,0.9480550441564517,0.7428807263722658,1.0122044241037376,24,0.20295994045452223,0.16516946616168143,8.289523203204398e-07,0.5372340425531915,24,0.10058684933235675,0.00207414295972737,0.0,0.3948470981384149
s8,24,1.0317865561574089,1.0191003341398663,0.9942979330007128,1.1062861145158467,24,0.9766645261273527,0.985422869288029,0.9232254949299856,0.995928338762215,24,0.3134930480355978,0.3351468852030484,0.0647339141352304,0.6934840839718432,24,0.1484381066045027,0.010478985545926228,0.0,0.6982724888228032
s8_dist32_addr8,24,1.0317865561574089,1.0191003341398663,0.9942979330007128,1.1062861145158467,24,0.9766645261273527,0.985422869288029,0.9232254949299856,0.995928338762215,24,0.3134930480355978,0.3351468852030484,0.0647339141352304,0.6934840839718432,24,0.1484381066045027,0.010478985545926228,0.0,0.6982724888228032
s8_dist8_addr8,24,1.0317865561574089,1.0191003341398663,0.9942979330007128,1.1062861145158467,24,0.9766645261273527,0.985422869288029,0.9232254949299856,0.995928338762215,24,0.3134930480355978,0.3351468852030484,0.0647339141352304,0.6934840839718432,24,0.1484381066045027,0.010478985545926228,0.0,0.6982724888228032
s8_ipd16_addr16,24,1.0317865561574089,1.0191003341398663,0.9942979330007128,1.1062861145158467,24,0.9766645261273527,0.985422869288029,0.9232254949299856,0.995928338762215,24,0.3134930480355978,0.3351468852030484,0.0647339141352304,0.6934840839718432,24,0.1484381066045027,0.010478985545926228,0.0,0.6982724888228032
s8_ipd16_pt32,24,1.0317865561574089,1.0191003341398663,0.9942979330007128,1.1062861145158467,24,0.9766645261273527,0.985422869288029,0.9232254949299856,0.995928338762215,24,0.3134930480355978,0.3351468852030484,0.0647339141352304,0.6934840839718432,24,0.1484381066045027,0.010478985545926228,0.0,0.6982724888228032
s8_ipd8_addr8,24,1.0317865561574089,1.0191003341398663,0.9942979330007128,1.1062861145158467,24,0.9766645261273527,0.985422869288029,0.9232254949299856,0.995928338762215,24,0.3134930480355978,0.3351468852030484,0.0647339141352304,0.6934840839718432,24,0.1484381066045027,0.010478985545926228,0.0,0.6982724888228032
s8_pt8_sth2,24,1.0322716254806854,1.0191166174872541,0.9953621120228326,1.105705285264263,24,0.9770882788806015,0.9856412849081835,0.9284525790349418,0.9953949422416485,24,0.3130378403355361,0.3376288890273728,0.050897768920724146,0.6936970602889886,24,0.14949291921208055,0.00919351383500258,0.0,0.6977842836621679
s8_pt8_sth8,24,1.0320947623393606,1.0187211161486736,0.9888178913738018,1.1055118110236222,24,0.9769073753752237,0.9851628832600978,0.9276807980049875,1.006132756132756,24,0.31660355082959196,0.3394679588804233,0.04360631639246211,0.7003777148253069,24,0.148856887447155,0.009656121991399796,0.0,0.6977087088577357
s8_sth2,24,1.0324197218487619,1.0191321700006486,0.9953621120228326,1.1055118110236222,24,0.9772236433578422,0.9856498097918862,0.9284525790349418,0.9953949422416485,24,0.3146830150248461,0.33212980008408866,0.050897768920724146,0.6926856574200771,24,0.1499232472328595,0.01126211518077607,0.0,0.6977842836621679
s8_sth8,24,1.0322062791909854,1.0191166174872541,0.9888178913738018,1.1055118110236222,24,0.9770154048679115,0.9854165410416817,0.9276807980049875,1.006132756132756,24,0.31585990911164885,0.3323600849880669,0.04360631639246211,0.6956059753734608,24,0.14896288779772096,0.010365326695386916,0.0,0.6977087088577357
