run,benchmark,prefetcher,stage,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,stage2_best_config,stage2_best_simSeconds,stage2_best_speedup_vs_nopf,speedup_vs_stage2_best,improvement_over_stage2_best_pct
bfs_imp3_s64_dist32_addr16_l2_ddr4_2x,bfs,imp,stage3,s64_dist32_addr16,l2,ddr4_2x,0.023171,23171348790.0,30729211.0,69583630.0,0.441616,6936493.0,11409439.0,1420965.0,3529163.0,,,,4844021.0,314644.0,1231128.0,0.025176,1.0865305770143714,4844021.0,314644.0,1231128.0,0.06495512715572455,0.25415414177601625,0.6079609172720938,0.4026351290660137,s16_pt8_sth2,0.021377,1.1777143659072835,0.9225756333347719,-7.742436666522812
bfs_imp3_s64_dist8_addr16_l2_ddr4_1x,bfs,imp,stage3,s64_dist8_addr16,l2,ddr4_1x,0.028237,28236898503.0,30729211.0,84795491.0,0.362392,7027264.0,11483661.0,1424342.0,3529156.0,,,,4733404.0,301798.0,1187861.0,0.02764,0.9788575273577221,4733404.0,301798.0,1187861.0,0.06375918894731994,0.2509528026764671,0.6119358626138476,0.4035928136925656,s16_pt8_sth8,0.025505,1.083709076651637,0.9032475121294754,-9.67524878705246
bfs_imp3_s64_ipd16_addr16_l2_ddr4_1x,bfs,imp,stage3,s64_ipd16_addr16,l2,ddr4_1x,0.028237,28236898503.0,30729211.0,84795491.0,0.362392,7027264.0,11483661.0,1424342.0,3529156.0,,,,4733404.0,301798.0,1187861.0,0.02764,0.9788575273577221,4733404.0,301798.0,1187861.0,0.06375918894731994,0.2509528026764671,0.6119358626138476,0.4035928136925656,s16_pt8_sth8,0.025505,1.083709076651637,0.9032475121294754,-9.67524878705246
bfs_imp3_s64_ipd8_addr8_l2_ddr4_1x,bfs,imp,stage3,s64_ipd8_addr8,l2,ddr4_1x,0.028237,28236898503.0,30729211.0,84795491.0,0.362392,7027264.0,11483661.0,1424342.0,3529156.0,,,,4733404.0,301798.0,1187861.0,0.02764,0.9788575273577221,4733404.0,301798.0,1187861.0,0.06375918894731994,0.2509528026764671,0.6119358626138476,0.4035928136925656,s16_pt8_sth8,0.025505,1.083709076651637,0.9032475121294754,-9.67524878705246
bfs_imp3_s64_ipd8_addr8_l2_ddr4_2x,bfs,imp,stage3,s64_ipd8_addr8,l2,ddr4_2x,0.023171,23171348790.0,30729211.0,69583630.0,0.441616,6936493.0,11409439.0,1420965.0,3529163.0,,,,4844021.0,314644.0,1231128.0,0.025176,1.0865305770143714,4844021.0,314644.0,1231128.0,0.06495512715572455,0.25415414177601625,0.6079609172720938,0.4026351290660137,s16_pt8_sth2,0.021377,1.1777143659072835,0.9225756333347719,-7.742436666522812
bfs_imp3_s64_l2_ddr4_1x,bfs,imp,stage3,s64,l2,ddr4_1x,0.028237,28236898503.0,30729211.0,84795491.0,0.362392,7027264.0,11483661.0,1424342.0,3529156.0,,,,4733404.0,301798.0,1187861.0,0.02764,0.9788575273577221,4733404.0,301798.0,1187861.0,0.06375918894731994,0.2509528026764671,0.6119358626138476,0.4035928136925656,s16_pt8_sth8,0.025505,1.083709076651637,0.9032475121294754,-9.67524878705246
bfs_imp3_s64_sth2_dist32_ipd16_addr16_l1d_ddr4_1x,bfs,imp,stage3,s64_sth2_dist32_ipd16_addr16,l1d,ddr4_1x,0.023093,23092920630.0,30729211.0,69348110.0,0.443116,5322826.0,11456684.0,2718362.0,6658368.0,6347669.0,465404.0,2915943.0,,,,0.02764,1.1968994933529642,6347669.0,465404.0,2915943.0,0.07331888288441,0.4593722514516746,0.4646044178228185,0.4082625051664312,s16_sth8,0.022635,1.2211177380163465,0.980167150218681,-1.983284978131905
bfs_imp3_s64_sth2_dist32_ipd16_addr16_l1d_ddr4_2x,bfs,imp,stage3,s64_sth2_dist32_ipd16_addr16,l1d,ddr4_2x,0.019647,19647393606.0,30729211.0,59001182.0,0.520824,5210884.0,11372144.0,2765231.0,6773010.0,6642435.0,481021.0,3028012.0,,,,0.025176,1.2814170102305695,6642435.0,481021.0,3028012.0,0.07241636538407978,0.45585873252805637,0.4582147394545831,0.40827209763458194,s16_pt8_sth8,0.019608,1.2839657282741739,0.998014964116659,-0.19850358833409798
bfs_imp3_s64_sth2_dist32_ipd16_l1d_ddr4_1x,bfs,imp,stage3,s64_sth2_dist32_ipd16,l1d,ddr4_1x,0.023093,23092920630.0,30729211.0,69348110.0,0.443116,5322826.0,11456684.0,2718362.0,6658368.0,6347669.0,465404.0,2915943.0,,,,0.02764,1.1968994933529642,6347669.0,465404.0,2915943.0,0.07331888288441,0.4593722514516746,0.4646044178228185,0.4082625051664312,s16_sth8,0.022635,1.2211177380163465,0.980167150218681,-1.983284978131905
bfs_imp3_s64_sth2_dist32_ipd16_l1d_ddr4_2x,bfs,imp,stage3,s64_sth2_dist32_ipd16,l1d,ddr4_2x,0.019647,19647393606.0,30729211.0,59001182.0,0.520824,5210884.0,11372144.0,2765231.0,6773010.0,6642435.0,481021.0,3028012.0,,,,0.025176,1.2814170102305695,6642435.0,481021.0,3028012.0,0.07241636538407978,0.45585873252805637,0.4582147394545831,0.40827209763458194,s16_pt8_sth8,0.019608,1.2839657282741739,0.998014964116659,-0.19850358833409798
