run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,imp_default_simSeconds,stage1_best_config,stage1_best_simSeconds,stage1_best_speedup,speedup_vs_imp_default,speedup_vs_stage1_best,l1d_miss_rate,l2_miss_rate,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,pf_coverage_l1d
bfs_imp_stage2_s16_ipd16_pt32_l1d_ddr4_1x,bfs,imp,s16_ipd16_pt32,l1d,ddr4_1x,0.022644,22644101898.0,30729211.0,68000306.0,0.451899,5499207.0,11471915.0,2389038.0,6325340.0,5223342.0,440614.0,2597004.0,,,,0.023393,sdist16,0.022644,1.0330771948419006,1.0330771948419006,1.0,0.4793625998797934,0.37769321491018665,5223342.0,440614.0,2597004.0,0.08435480579291955,0.49719202763288334,0.08012318867065743
bfs_imp_stage2_s16_ipd16_pt32_l1d_ddr4_2x,bfs,imp,s16_ipd16_pt32,l1d,ddr4_2x,0.019617,19617348015.0,30729211.0,58910955.0,0.521622,5371033.0,11380680.0,2448923.0,6419441.0,5351311.0,454753.0,2689456.0,,,,0.020727,sdist16,0.019617,1.0565835754702553,1.0565835754702553,1.0,0.4719430649135201,0.38148539724876357,5351311.0,454753.0,2689456.0,0.08497973674114624,0.5025789007590851,0.08466769800148315
bfs_imp_stage2_s16_ipd16_pt32_l2_ddr4_1x,bfs,imp,s16_ipd16_pt32,l2,ddr4_1x,0.025506,25505763705.0,30729211.0,76593885.0,0.401197,6759177.0,11471944.0,1336083.0,3528858.0,,,,1838477.0,351029.0,809468.0,0.02562,sdist16,0.025506,1.0044695365796283,1.0044695365796283,1.0,0.5891919451489651,0.3786162548903923,1838477.0,351029.0,809468.0,0.1909346703820608,0.44029269879362104,0.05193368956013432
bfs_imp_stage2_s16_ipd16_pt32_l2_ddr4_2x,bfs,imp,s16_ipd16_pt32,l2,ddr4_2x,0.021395,21394838079.0,30729211.0,64248763.0,0.478285,6693335.0,11401031.0,1329670.0,3529114.0,,,,1915481.0,366130.0,851751.0,0.022034,sdist16,0.021395,1.02986679130638,1.02986679130638,1.0,0.587081554291011,0.37677162029903255,1915481.0,366130.0,851751.0,0.19114259029455266,0.44466690089852107,0.05470068359046723
bfs_imp_stage2_s16_ipd8_addr8_l1d_ddr4_1x,bfs,imp,s16_ipd8_addr8,l1d,ddr4_1x,0.022644,22644101898.0,30729211.0,68000306.0,0.451899,5499207.0,11471915.0,2389038.0,6325340.0,5223342.0,440614.0,2597004.0,,,,0.023393,sdist16,0.022644,1.0330771948419006,1.0330771948419006,1.0,0.4793625998797934,0.37769321491018665,5223342.0,440614.0,2597004.0,0.08435480579291955,0.49719202763288334,0.08012318867065743
bfs_imp_stage2_s16_ipd8_addr8_l1d_ddr4_2x,bfs,imp,s16_ipd8_addr8,l1d,ddr4_2x,0.019617,19617348015.0,30729211.0,58910955.0,0.521622,5371033.0,11380680.0,2448923.0,6419441.0,5351311.0,454753.0,2689456.0,,,,0.020727,sdist16,0.019617,1.0565835754702553,1.0565835754702553,1.0,0.4719430649135201,0.38148539724876357,5351311.0,454753.0,2689456.0,0.08497973674114624,0.5025789007590851,0.08466769800148315
bfs_imp_stage2_s16_ipd8_addr8_l2_ddr4_1x,bfs,imp,s16_ipd8_addr8,l2,ddr4_1x,0.025506,25505763705.0,30729211.0,76593885.0,0.401197,6759177.0,11471944.0,1336083.0,3528858.0,,,,1838477.0,351029.0,809468.0,0.02562,sdist16,0.025506,1.0044695365796283,1.0044695365796283,1.0,0.5891919451489651,0.3786162548903923,1838477.0,351029.0,809468.0,0.1909346703820608,0.44029269879362104,0.05193368956013432
bfs_imp_stage2_s16_ipd8_addr8_l2_ddr4_2x,bfs,imp,s16_ipd8_addr8,l2,ddr4_2x,0.021395,21394838079.0,30729211.0,64248763.0,0.478285,6693335.0,11401031.0,1329670.0,3529114.0,,,,1915481.0,366130.0,851751.0,0.022034,sdist16,0.021395,1.02986679130638,1.02986679130638,1.0,0.587081554291011,0.37677162029903255,1915481.0,366130.0,851751.0,0.19114259029455266,0.44466690089852107,0.05470068359046723
bfs_imp_stage2_s16_l1d_ddr4_1x,bfs,imp,s16,l1d,ddr4_1x,0.022644,22644101898.0,30729211.0,68000306.0,0.451899,5499207.0,11471915.0,2389038.0,6325340.0,5223342.0,440614.0,2597004.0,,,,0.023393,sdist16,0.022644,1.0330771948419006,1.0330771948419006,1.0,0.4793625998797934,0.37769321491018665,5223342.0,440614.0,2597004.0,0.08435480579291955,0.49719202763288334,0.08012318867065743
bfs_imp_stage2_s16_l1d_ddr4_2x,bfs,imp,s16,l1d,ddr4_2x,0.019617,19617348015.0,30729211.0,58910955.0,0.521622,5371033.0,11380680.0,2448923.0,6419441.0,5351311.0,454753.0,2689456.0,,,,0.020727,sdist16,0.019617,1.0565835754702553,1.0565835754702553,1.0,0.4719430649135201,0.38148539724876357,5351311.0,454753.0,2689456.0,0.08497973674114624,0.5025789007590851,0.08466769800148315
bfs_imp_stage2_s16_l2_ddr4_1x,bfs,imp,s16,l2,ddr4_1x,0.025506,25505763705.0,30729211.0,76593885.0,0.401197,6759177.0,11471944.0,1336083.0,3528858.0,,,,1838477.0,351029.0,809468.0,0.02562,sdist16,0.025506,1.0044695365796283,1.0044695365796283,1.0,0.5891919451489651,0.3786162548903923,1838477.0,351029.0,809468.0,0.1909346703820608,0.44029269879362104,0.05193368956013432
bfs_imp_stage2_s16_l2_ddr4_2x,bfs,imp,s16,l2,ddr4_2x,0.021395,21394838079.0,30729211.0,64248763.0,0.478285,6693335.0,11401031.0,1329670.0,3529114.0,,,,1915481.0,366130.0,851751.0,0.022034,sdist16,0.021395,1.02986679130638,1.02986679130638,1.0,0.587081554291011,0.37677162029903255,1915481.0,366130.0,851751.0,0.19114259029455266,0.44466690089852107,0.05470068359046723
