run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused
matmult_nextline_deg4_l2_ddr4_1x,matmult,nextline,deg4,l2,ddr4_1x,0.001178,1177770051.0,7397885.0,3536847.0,2.091664,1159291.0,2137050.0,1963.0,1076134.0,nan,nan,nan,19754.0,3579.0,133.0
matmult_nextline_deg4_l2_ddr4_2x,matmult,nextline,deg4,l2,ddr4_2x,0.001191,1190569572.0,7397871.0,3575284.0,2.069173,1159217.0,2138752.0,1823.0,1078207.0,nan,nan,nan,19601.0,3652.0,128.0
matmult_nextline_deg8_l1d_ddr4_1x,matmult,nextline,deg8,l1d,ddr4_1x,0.001235,1235433330.0,7397871.0,3710010.0,1.994032,1147789.0,2137464.0,5514.0,1088987.0,29421.0,8886.0,11843.0,nan,nan,nan
matmult_nextline_deg8_l1d_ddr4_2x,matmult,nextline,deg8,l1d,ddr4_2x,0.001235,1235068695.0,7397871.0,3708915.0,1.994621,1145837.0,2133833.0,5481.0,1086249.0,25062.0,8702.0,10760.0,nan,nan,nan
matmult_nextline_deg8_l2_ddr4_1x,matmult,nextline,deg8,l2,ddr4_1x,0.001169,1169209620.0,7397876.0,3511140.0,2.106975,1159742.0,2139221.0,895.0,1078203.0,nan,nan,nan,37418.0,4679.0,220.0
matmult_nextline_deg8_l2_ddr4_2x,matmult,nextline,deg8,l2,ddr4_2x,0.001174,1173530961.0,7397876.0,3524117.0,2.099217,1163204.0,2139521.0,824.0,1078406.0,nan,nan,nan,37445.0,4698.0,222.0
merge_nextline_deg16_l1d_ddr4_1x,merge,nextline,deg16,l1d,ddr4_1x,0.009816,9815895612.0,37918841.0,29477164.0,1.286382,573538.0,10925243.0,73368.0,218213.0,5421794.0,113679.0,8423.0,nan,nan,nan
merge_nextline_deg16_l1d_ddr4_2x,merge,nextline,deg16,l1d,ddr4_2x,0.009838,9838271547.0,37918841.0,29544359.0,1.283456,571248.0,10925195.0,73389.0,218221.0,5347278.0,113755.0,8422.0,nan,nan,nan
merge_nextline_deg16_l2_ddr4_1x,merge,nextline,deg16,l2,ddr4_1x,0.010084,10083848391.0,37919515.0,30281827.0,1.252222,831983.0,11098990.0,26125.0,201607.0,nan,nan,nan,1006193.0,46524.0,1340.0
merge_nextline_deg16_l2_ddr4_2x,merge,nextline,deg16,l2,ddr4_2x,0.010088,10087628940.0,37919465.0,30293180.0,1.251751,830496.0,11098936.0,26104.0,201589.0,nan,nan,nan,1006391.0,46546.0,1348.0
merge_nextline_deg1_l1d_ddr4_1x,merge,nextline,deg1,l1d,ddr4_1x,0.00988,9879570540.0,37918841.0,29668380.0,1.278091,590530.0,10937349.0,72190.0,202823.0,475530.0,104597.0,573.0,nan,nan,nan
merge_nextline_deg1_l1d_ddr4_2x,merge,nextline,deg1,l1d,ddr4_2x,0.00988,9880469307.0,37918841.0,29671079.0,1.277975,564372.0,10930427.0,72192.0,202825.0,451120.0,107263.0,573.0,nan,nan,nan
merge_nextline_deg1_l2_ddr4_1x,merge,nextline,deg1,l2,ddr4_1x,0.010108,10108433115.0,37919543.0,30355655.0,1.249177,855326.0,11104348.0,30043.0,201558.0,nan,nan,nan,71039.0,42129.0,141.0
merge_nextline_deg1_l2_ddr4_2x,merge,nextline,deg1,l2,ddr4_2x,0.010115,10115084457.0,37919518.0,30375629.0,1.248355,839428.0,11101229.0,27903.0,201564.0,nan,nan,nan,71049.0,44279.0,144.0
merge_nextline_deg32_l1d_ddr4_1x,merge,nextline,deg32,l1d,ddr4_1x,0.009816,9815724117.0,37918841.0,29476649.0,1.286404,586838.0,10925066.0,73778.0,227423.0,7498052.0,116406.0,12487.0,nan,nan,nan
merge_nextline_deg32_l1d_ddr4_2x,merge,nextline,deg32,l1d,ddr4_2x,0.009836,9836422731.0,37918841.0,29538807.0,1.283697,585615.0,10924984.0,73777.0,227606.0,7238599.0,116537.0,12575.0,nan,nan,nan
merge_nextline_deg32_l2_ddr4_1x,merge,nextline,deg32,l2,ddr4_1x,0.010081,10081299276.0,37919468.0,30274172.0,1.252537,832440.0,11098344.0,26270.0,201606.0,nan,nan,nan,1703918.0,46693.0,1643.0
merge_nextline_deg32_l2_ddr4_2x,merge,nextline,deg32,l2,ddr4_2x,0.010085,10085284287.0,37919496.0,30286139.0,1.252043,830985.0,11098275.0,26264.0,201601.0,nan,nan,nan,1687135.0,46715.0,1768.0
merge_nextline_deg4_l1d_ddr4_1x,merge,nextline,deg4,l1d,ddr4_1x,0.009814,9813850659.0,37918841.0,29471023.0,1.28665,558619.0,10925125.0,72468.0,206346.0,1589994.0,111054.0,2253.0,nan,nan,nan
merge_nextline_deg4_l1d_ddr4_2x,merge,nextline,deg4,l1d,ddr4_2x,0.009832,9831896262.0,37918836.0,29525214.0,1.284288,555781.0,10924923.0,72464.0,206343.0,1561289.0,111203.0,2253.0,nan,nan,nan
merge_nextline_deg4_l2_ddr4_1x,merge,nextline,deg4,l2,ddr4_1x,0.010069,10068504750.0,37919543.0,30235750.0,1.254131,836280.0,11098971.0,26312.0,201563.0,nan,nan,nan,277774.0,45960.0,469.0
merge_nextline_deg4_l2_ddr4_2x,merge,nextline,deg4,l2,ddr4_2x,0.010075,10074579003.0,37919543.0,30253991.0,1.253375,833865.0,11098933.0,26243.0,201566.0,nan,nan,nan,277787.0,46031.0,476.0
merge_nextline_deg8_l1d_ddr4_1x,merge,nextline,deg8,l1d,ddr4_1x,0.009818,9818179326.0,37918841.0,29484022.0,1.286082,559215.0,10926874.0,72797.0,210506.0,2729045.0,112393.0,4542.0,nan,nan,nan
merge_nextline_deg8_l1d_ddr4_2x,merge,nextline,deg8,l1d,ddr4_2x,0.009837,9837491661.0,37918841.0,29542017.0,1.283558,557255.0,10924725.0,72806.0,210567.0,2937907.0,112439.0,4521.0,nan,nan,nan
merge_nextline_deg8_l2_ddr4_1x,merge,nextline,deg8,l2,ddr4_1x,0.01008,10079787123.0,37919496.0,30269631.0,1.252725,832317.0,11100835.0,26015.0,201464.0,nan,nan,nan,538373.0,46378.0,823.0
merge_nextline_deg8_l2_ddr4_2x,merge,nextline,deg8,l2,ddr4_2x,0.010083,10082649924.0,37919515.0,30278228.0,1.25237,830441.0,11098936.0,25963.0,201580.0,nan,nan,nan,538431.0,46436.0,837.0
quick_nextline_deg16_l1d_ddr4_1x,quick,nextline,deg16,l1d,ddr4_1x,0.008228,8228261502.0,24424730.0,24709494.0,0.988911,8368.0,9130786.0,28841.0,88708.0,1176477.0,82587.0,3760.0,nan,nan,nan
quick_nextline_deg16_l1d_ddr4_2x,quick,nextline,deg16,l1d,ddr4_2x,0.008223,8222522247.0,24424725.0,24692259.0,0.989601,8386.0,9130822.0,28843.0,88691.0,1176617.0,82584.0,3744.0,nan,nan,nan
quick_nextline_deg16_l2_ddr4_1x,quick,nextline,deg16,l2,ddr4_1x,0.008572,8571501585.0,24424730.0,25740245.0,0.949311,227985.0,9206180.0,785.0,82878.0,nan,nan,nan,394618.0,27726.0,1155.0
quick_nextline_deg16_l2_ddr4_2x,quick,nextline,deg16,l2,ddr4_2x,0.00855,8550381726.0,24424725.0,25676822.0,0.951655,227922.0,9206153.0,761.0,82875.0,nan,nan,nan,394872.0,27747.0,1170.0
quick_nextline_deg1_l1d_ddr4_1x,quick,nextline,deg1,l1d,ddr4_1x,0.008491,8490551283.0,24424730.0,25497151.0,0.958362,97309.0,9178882.0,28522.0,83192.0,161779.0,69551.0,220.0,nan,nan,nan
quick_nextline_deg1_l1d_ddr4_2x,quick,nextline,deg1,l1d,ddr4_2x,0.008398,8398454805.0,24424725.0,25220585.0,0.968871,96444.0,9177598.0,28520.0,83191.0,161310.0,69807.0,221.0,nan,nan,nan
quick_nextline_deg1_l2_ddr4_1x,quick,nextline,deg1,l2,ddr4_1x,0.008752,8751997908.0,24424730.0,26282276.0,0.929733,273976.0,9238749.0,9510.0,82878.0,nan,nan,nan,28044.0,18984.0,139.0
quick_nextline_deg1_l2_ddr4_2x,quick,nextline,deg1,l2,ddr4_2x,0.008669,8669334321.0,24424730.0,26034037.0,0.938598,272660.0,9237505.0,8876.0,82881.0,nan,nan,nan,28047.0,19621.0,139.0
quick_nextline_deg32_l1d_ddr4_1x,quick,nextline,deg32,l1d,ddr4_1x,0.008227,8226964134.0,24424730.0,24705598.0,0.989067,8155.0,9130645.0,28938.0,92808.0,1970185.0,83684.0,6714.0,nan,nan,nan
quick_nextline_deg32_l1d_ddr4_2x,quick,nextline,deg32,l1d,ddr4_2x,0.008223,8222858244.0,24424725.0,24693268.0,0.989561,8103.0,9130616.0,28943.0,92944.0,2001816.0,83693.0,6841.0,nan,nan,nan
quick_nextline_deg32_l2_ddr4_1x,quick,nextline,deg32,l2,ddr4_1x,0.008572,8571626127.0,24424730.0,25740619.0,0.949297,227769.0,9206000.0,784.0,82876.0,nan,nan,nan,667113.0,27726.0,1372.0
quick_nextline_deg32_l2_ddr4_2x,quick,nextline,deg32,l2,ddr4_2x,0.008551,8550895878.0,24424730.0,25678366.0,0.951598,227727.0,9205983.0,740.0,82875.0,nan,nan,nan,671382.0,27769.0,1462.0
quick_nextline_deg4_l1d_ddr4_1x,quick,nextline,deg4,l1d,ddr4_1x,0.00826,8260298100.0,24424725.0,24805700.0,0.985075,13166.0,9133503.0,28623.0,84251.0,353558.0,80463.0,885.0,nan,nan,nan
quick_nextline_deg4_l1d_ddr4_2x,quick,nextline,deg4,l1d,ddr4_2x,0.00825,8249741334.0,24424725.0,24773998.0,0.986336,10209.0,9131640.0,28618.0,84247.0,343262.0,80738.0,884.0,nan,nan,nan
quick_nextline_deg4_l2_ddr4_1x,quick,nextline,deg4,l2,ddr4_1x,0.008586,8585824914.0,24424725.0,25783258.0,0.947727,230213.0,9207885.0,1267.0,82880.0,nan,nan,nan,109499.0,27234.0,441.0
quick_nextline_deg4_l2_ddr4_2x,quick,nextline,deg4,l2,ddr4_2x,0.00857,8569606149.0,24424730.0,25734553.0,0.949521,228493.0,9206515.0,1031.0,82882.0,nan,nan,nan,109515.0,27472.0,441.0
quick_nextline_deg8_l1d_ddr4_1x,quick,nextline,deg8,l1d,ddr4_1x,0.008231,8230798296.0,24424725.0,24717112.0,0.988606,8609.0,9130858.0,28715.0,85612.0,654062.0,81396.0,1806.0,nan,nan,nan
quick_nextline_deg8_l1d_ddr4_2x,quick,nextline,deg8,l1d,ddr4_2x,0.008228,8227567197.0,24424730.0,24707409.0,0.988994,8517.0,9130891.0,28719.0,85618.0,653485.0,81411.0,1808.0,nan,nan,nan
quick_nextline_deg8_l2_ddr4_1x,quick,nextline,deg8,l2,ddr4_1x,0.008567,8566759998.0,24424725.0,25726006.0,0.949836,228062.0,9206201.0,802.0,82874.0,nan,nan,nan,211744.0,27697.0,756.0
quick_nextline_deg8_l2_ddr4_2x,quick,nextline,deg8,l2,ddr4_2x,0.008554,8553619818.0,24424725.0,25686546.0,0.951295,228082.0,9206197.0,799.0,82874.0,nan,nan,nan,211778.0,27700.0,756.0
simple_triad_nextline_deg16_l1d_ddr4_1x,simple_triad,nextline,deg16,l1d,ddr4_1x,0.002871,2871428364.0,3509930.0,8622909.0,0.407049,1463055.0,2003799.0,375808.0,375920.0,535436.0,111753.0,460.0,nan,nan,nan
simple_triad_nextline_deg16_l1d_ddr4_2x,simple_triad,nextline,deg16,l1d,ddr4_2x,0.001937,1937361033.0,3510094.0,5817901.0,0.60333,1202264.0,2003877.0,375810.0,375944.0,769512.0,164111.0,495.0,nan,nan,nan
simple_triad_nextline_deg16_l2_ddr4_1x,simple_triad,nextline,deg16,l2,ddr4_1x,0.002558,2557693080.0,3509957.0,7680760.0,0.456983,1705076.0,2003856.0,203206.0,374131.0,nan,nan,nan,881104.0,170915.0,234.0
simple_triad_nextline_deg16_l2_ddr4_2x,simple_triad,nextline,deg16,l2,ddr4_2x,0.001603,1603404324.0,3510077.0,4815028.0,0.728987,1791935.0,2003905.0,153347.0,374527.0,nan,nan,nan,1148744.0,221170.0,240.0
simple_triad_nextline_deg1_l1d_ddr4_1x,simple_triad,nextline,deg1,l1d,ddr4_1x,0.002829,2828842326.0,3509962.0,8495023.0,0.413181,1947982.0,2003780.0,375411.0,375421.0,1430230.0,5932.0,14.0,nan,nan,nan
simple_triad_nextline_deg1_l1d_ddr4_2x,simple_triad,nextline,deg1,l1d,ddr4_2x,0.002203,2202851943.0,3510082.0,6615171.0,0.530614,1993219.0,2003861.0,375409.0,375419.0,1393158.0,553.0,14.0,nan,nan,nan
simple_triad_nextline_deg1_l2_ddr4_1x,simple_triad,nextline,deg1,l2,ddr4_1x,0.002801,2800587942.0,3509929.0,8410175.0,0.417345,1990371.0,2003820.0,364007.0,375382.0,nan,nan,nan,369497.0,11364.0,19.0
simple_triad_nextline_deg1_l2_ddr4_2x,simple_triad,nextline,deg1,l2,ddr4_2x,0.002198,2198247219.0,3510106.0,6601343.0,0.531729,1993291.0,2003890.0,374501.0,375379.0,nan,nan,nan,369496.0,868.0,19.0
simple_triad_nextline_deg32_l1d_ddr4_1x,simple_triad,nextline,deg32,l1d,ddr4_1x,0.002846,2846146338.0,3509913.0,8546987.0,0.410663,1364883.0,2003796.0,375905.0,376211.0,907521.0,126459.0,697.0,nan,nan,nan
simple_triad_nextline_deg32_l1d_ddr4_2x,simple_triad,nextline,deg32,l1d,ddr4_2x,0.001919,1919434977.0,3510084.0,5764069.0,0.608963,1213692.0,2003869.0,375920.0,376173.0,1174029.0,151206.0,687.0,nan,nan,nan
